id,predicted_price
2591820310,358013.28
7974200820,736949.0
7701450110,965730.1
9522300010,1032857.0
9510861140,704020.9
1761300310,234183.25
7732410120,768991.75
7010701383,622127.0
291310170,434016.9
4232901990,561756.0
6840701125,626522.2
3971700580,409351.7
4202400078,255938.88
6064800090,346098.1
2626119028,266202.84
3303980660,908831.94
862000020,720484.0
2386000070,833834.4
1138000450,326400.34
1775800420,465131.53
2291401425,409915.78
2025770560,695261.0
3525069037,659097.2
9324800450,535696.1
8080400136,552910.25
8651540040,501116.9
9407001790,212445.62
1773101530,251403.0
9432900250,329071.1
1794500695,627630.3
2220069003,330126.28
923000120,435341.38
5728000060,551628.8
16000200,243284.31
1926059094,429413.16
6672900220,955383.3
3629860060,810916.8
1822069109,396020.1
6675500105,359575.3
249000180,1131429.6
226059065,462107.28
396100110,266581.62
9264450460,346377.44
7853361210,396246.72
9474700020,324615.7
421000455,254130.53
3755200220,405273.8
7960100075,449530.4
9477100490,382680.84
9138100350,738560.9
1624049275,437356.3
2770606890,521266.97
1157200189,367821.28
2770601800,511788.66
9301300805,584482.7
2325069032,962791.06
1021079099,346963.62
7215730040,707754.44
1853200080,456878.66
3224600340,654434.1
3222049120,417798.2
2113700025,296065.84
7893207925,211801.1
3586501085,493214.25
8024200010,382461.9
7116500705,185426.34
1598600209,295355.47
7204200025,612966.8
4206901505,597816.8
2937300440,862656.06
7205000180,327284.03
8718500665,376125.38
5318101765,899141.8
4122700020,822723.7
8078700020,515637.44
3303980680,829923.2
8924100372,1004099.8
2781270210,232214.39
519000043,517382.16
3225069301,976242.0
151000075,736493.7
2297400020,440187.5
6617500085,636542.06
104510180,238270.02
3528900060,891522.9
3345100286,520840.16
1226039130,427178.88
8712100720,776320.44
3037200010,427632.97
3626039268,440151.8
104510230,243035.05
5112800060,408011.7
6072400280,615607.7
5317100570,893857.25
9528102993,551799.8
2919201095,503424.25
6181400920,258617.94
185000161,239696.48
8691400010,705718.3
3345700165,526828.4
6151800486,235375.08
4340000080,960316.1
4136960010,502531.1
3634100030,361165.1
1624059224,907749.1
2788400090,264798.62
9828200762,511021.5
7524400250,498961.0
3528000290,692479.06
5700003630,1046277.56
2720069019,298246.78
7227501170,259242.67
2397101270,638307.4
6792100090,704474.25
2770602265,549991.44
3971700937,294744.03
422049203,215023.27
3076500830,328115.3
1423400260,270041.66
9161100795,442897.16
3126049052,465098.25
5100401468,409617.6
514500235,432854.56
1423200170,196115.22
1402100070,372180.1
624110020,656057.0
2407000145,200829.73
1890000225,727567.7
1320069271,320198.94
5490700085,349941.4
263000155,478297.7
3726800201,435173.22
5153200358,279066.56
2725079018,740210.2
7165700200,266782.06
9429000170,557066.6
8718500075,372703.25
1760650950,294742.06
1068000559,958070.3
4113800500,651864.7
4077800507,536572.0
2725069150,675466.4
4008400035,629358.4
7016310270,410287.72
1432701230,222537.72
3278606050,342592.84
2473350710,348287.34
2185000685,216189.73
7792000025,352793.0
6868200029,472787.6
624069003,702990.44
7431500280,737521.25
3296000040,559644.94
1118001215,951374.56
6453900040,609098.7
333100209,690677.25
34001765,622625.5
8946700100,363643.5
5561401210,587269.7
6671900095,376360.78
3275850020,674754.94
3876300600,400874.38
1450900020,269483.1
8562780280,334474.53
7663700973,324968.22
2126049032,350743.97
1823059159,192261.31
3438503426,290390.9
9297301495,544842.44
7140700850,368788.6
7942601805,714205.94
2555900030,349675.22
2887970040,278468.38
7419700010,624754.3
2239000011,359226.7
9283800050,337312.62
9407001340,285844.7
217500140,470921.9
7212660520,244906.84
3298201170,367812.53
3057000400,352839.78
6865200444,542542.4
6071600340,516445.5
6821600005,700371.25
1235100371,623864.2
7796450340,335261.38
3603000410,162797.8
9297300255,501228.25
9126100850,535787.56
2770601462,535311.06
2599001500,219914.05
1102000095,719895.4
1853080640,888108.2
9551201585,902865.94
3438500796,346048.25
7518504291,528212.4
9269200340,394744.47
715010130,1022735.8
1982201485,582547.25
9526500080,383841.28
9277200180,460433.47
6669150280,278851.84
8917100153,552137.75
3760500516,889833.44
2725069050,825151.7
3332000091,328062.44
8562770080,581093.44
8151601190,253632.28
8563040160,572967.4
240000269,576526.9
4307350200,303793.84
1311910300,256297.45
3574900030,485777.9
7853230570,411542.94
320069049,355622.06
9839301060,656212.2
7011201333,634107.0
2781320100,260110.44
3421069120,409922.03
7852030320,452843.2
5316101075,1055026.9
5309100750,557740.1
629000730,758585.1
511700170,298080.2
1562100030,532727.5
2489200230,538687.94
524069116,480885.97
5315100737,968195.94
1868900675,780909.4
